P M time
8 262144 0.099803
8 262144 0.098839
8 262144 0.099606
8 262144 0.099796
8 262144 0.098106
8 1048576 0.383852
8 1048576 0.382943
8 1048576 0.382055
8 1048576 0.383597
8 1048576 0.381676
16 262144 0.348728
16 262144 0.473562
16 262144 0.498098
16 262144 0.492508
16 262144 0.480176
16 1048576 0.756179
16 1048576 0.934686
16 1048576 0.925371
16 1048576 0.905228
16 1048576 0.945909
32 262144 0.734479
32 262144 0.770077
32 262144 0.813950
32 262144 0.830113
32 262144 0.839450
32 1048576 1.223128
32 1048576 1.244415
32 1048576 1.283312
32 1048576 1.274608
32 1048576 1.267510
