Processes DataSize Time
32 120 0.524421
32 120 0.511252
32 120 0.516322
32 120 0.516679
32 120 0.516487
48 120 0.580366
48 120 0.579550
48 120 0.580042
48 120 0.584054
48 120 0.583393
64 120 0.589222
64 120 0.589460
64 120 0.588359
64 120 0.588088
64 120 0.590119
96 120 0.593826
96 120 0.596146
96 120 0.595153
96 120 0.596165
96 120 0.594693
32 240 4.460126
32 240 4.457394
32 240 4.459132
32 240 4.456291
32 240 4.461581
48 240 5.231101
48 240 5.225456
48 240 5.229466
48 240 5.224309
48 240 5.182474
64 240 5.149866
64 240 5.151501
64 240 5.148405
64 240 5.162679
64 240 5.247746
96 240 5.210429
96 240 5.116869
96 240 5.115310
96 240 5.119397
96 240 5.128658
